Наименование;Артикул;Цена;Документы;Характеристики;Количество
Выключатель автоматический ВА57-35-844610-63А-800-220DC-УХЛ3-КЭАЗ;140140;23474.02;"Сайт https://keaz.ru/catalog/product/140140
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 40
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844610-80А-800-220DC-УХЛ3-КЭАЗ;140874;23681.42;"Сайт https://keaz.ru/catalog/product/140874
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 60
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";103
Выключатель автоматический ВА57-35-844650-160А-800-220DC-УХЛ3-КЭАЗ;377410;64871.06;"Сайт https://keaz.ru/catalog/product/377410
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 100
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844650-16А-160-220DC-УХЛ3-КЭАЗ;377407;62740.94;"Сайт https://keaz.ru/catalog/product/377407
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 5
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844650-200А-1000-220DC-УХЛ3-КЭАЗ;377411;64871.06;"Сайт https://keaz.ru/catalog/product/377411
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844650-20А-100-220DC-УХЛ3-КЭАЗ;266286;62740.94;"Сайт https://keaz.ru/catalog/product/266286
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 6
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844650-20А-250-220DC-УХЛ3-КЭАЗ;377408;62740.94;"Сайт https://keaz.ru/catalog/product/377408
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 6
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844650-80А-800-220DC-УХЛ3-КЭАЗ;377409;63619.34;"Сайт https://keaz.ru/catalog/product/377409
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 60
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-100А-1000-220DC-НР24DC-УХЛ3-КЭАЗ;328717;27188.92;"Сайт https://keaz.ru/catalog/product/328717
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 80
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-125А-1250-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;239526;27563.46;"Сайт https://keaz.ru/catalog/product/239526
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 100
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-125А-1250-220DC-НР24DC-УХЛ3-КЭАЗ;328719;27563.46;"Сайт https://keaz.ru/catalog/product/328719
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 100
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-160А-1600-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;234046;28441.86;"Сайт https://keaz.ru/catalog/product/234046
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 100
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-160А-800-220DC-НР24DC-УХЛ3-КЭАЗ;346878;28441.86;"Сайт https://keaz.ru/catalog/product/346878
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 100
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-16А-125-220DC-НР24DC-УХЛ3-КЭАЗ;304275;26310.52;"Сайт https://keaz.ru/catalog/product/304275
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 5
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-200А-1000-220DC-НР24DC-УХЛ3-КЭАЗ;304270;28441.86;"Сайт https://keaz.ru/catalog/product/304270
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-20А-100-220DC-НР24DC-УХЛ3-КЭАЗ;304272;26310.52;"Сайт https://keaz.ru/catalog/product/304272
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 6
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-250А-2500-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;333519;28441.86;"Сайт https://keaz.ru/catalog/product/333519
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-250А-2500-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;147453;28441.86;"Сайт https://keaz.ru/catalog/product/147453
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-250А-750-220DC-НР110AC/DC-УХЛ3-КЭАЗ;273769;28441.86;"Сайт https://keaz.ru/catalog/product/273769
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-25А-125-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;366720;26310.52;"Сайт https://keaz.ru/catalog/product/366720
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 15
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-25А-125-220DC-НР24DC-УХЛ3-КЭАЗ;304271;26310.52;"Сайт https://keaz.ru/catalog/product/304271
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 15
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-31,5А-160-220DC-НР24DC-УХЛ3-КЭАЗ;333520;26310.52;"Сайт https://keaz.ru/catalog/product/333520
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 15
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-40А-400-220DC-HP24DC-УХЛ3-КЭАЗ;304396;26310.52;"Сайт https://keaz.ru/catalog/product/304396
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 35
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-40А-400-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;239557;26310.52;"Сайт https://keaz.ru/catalog/product/239557
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 35
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-50А-250-220DC-НР24DC-УХЛ3-КЭАЗ;346879;26981.52;"Сайт https://keaz.ru/catalog/product/346879
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 35
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-50А-500-220DC-НР24DC-УХЛ3-КЭАЗ;348518;26981.52;"Сайт https://keaz.ru/catalog/product/348518
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 35
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-50А-500-690АC-НР230AC/220DC-УХЛ3-КЭАЗ;351464;26981.52;"Сайт https://keaz.ru/catalog/product/351464
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность переменного тока Icu (кА)2 = 15
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100
Предельная коммутационная способность переменного тока Icu при 690AC (кА) = 12
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 15";0
Выключатель автоматический ВА57-35-844710-50А-630-220DC-НР24DC-УХЛ3-КЭАЗ;348519;26981.52;"Сайт https://keaz.ru/catalog/product/348519
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 35
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-63А-800-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;234661;26981.52;"Сайт https://keaz.ru/catalog/product/234661
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 40
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-63А-800-220DC-НР24DC-УХЛ3-КЭАЗ;235283;26981.52;"Сайт https://keaz.ru/catalog/product/235283
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 40
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-80А-800-220DC-НР110AC/DC-УХЛ3-КЭАЗ;310914;27188.92;"Сайт https://keaz.ru/catalog/product/310914
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 60
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100
Предельная коммутационная способность постоянного тока Icu при 440DС (кА) = 60";0
Выключатель автоматический ВА57-35-844710-80А-800-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;240371;27188.92;"Сайт https://keaz.ru/catalog/product/240371
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 60
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844710-80А-800-220DC-НР24DC-УХЛ3-КЭАЗ;304276;27188.92;"Сайт https://keaz.ru/catalog/product/304276
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 60
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844730-100А-1000-220DC-НР230AC/220DC-ПЭ230AC-УХЛ3-КЭАЗ;311046;69614.42;"Сайт https://keaz.ru/catalog/product/311046
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 80
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844730-31,5А-125-690AC-НР230AC/220DC-ПЭ230AC-УХЛ3КЭАЗ;327284;68734.8;"Сайт https://keaz.ru/catalog/product/327284
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность переменного тока Icu (кА)2 = 10
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100
Предельная коммутационная способность переменного тока Icu при 690AC (кА) = 9
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 10";0
Выключатель автоматический ВА57-35-844750-250А-2500-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;256269;68379.78;"Сайт https://keaz.ru/catalog/product/256269
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844770-160А-1600-220DC-НР230AC/220DC-ПЭ230AC-УХЛ3-КЭАЗ;140654;96605.7;"Сайт https://keaz.ru/catalog/product/140654
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 100
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-844770-250А-1600-220DC-НР230AC/220DC-ПЭ230AC-УХЛ3-КЭАЗ;140655;96605.7;"Сайт https://keaz.ru/catalog/product/140655
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 110
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100";0
Выключатель автоматический ВА57-35-846210-200А-2000-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;290785;25240.58;"Сайт https://keaz.ru/catalog/product/290785
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность переменного тока Icu (кА)2 = 40
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100
Предельная коммутационная способность переменного тока Icu при 690AC (кА) = 18
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 40";0
Выключатель автоматический ВА57-35-331210-80А-1250-690AC-НР230AC/220DC-УХЛ3-АЭС-КЭАЗ;114750;25699.3;"Сайт https://keaz.ru/catalog/product/114750
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность переменного тока Icu (кА)2 = 40
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100
Предельная коммутационная способность переменного тока Icu при 690AC (кА) = 18
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 40";0
Выключатель автоматический ВА57-35-340010-100А-1000-690AC-УХЛ3-АЭС-КЭАЗ;257666;15964.92;"Сайт https://keaz.ru/catalog/product/257666
Опросный лист ВА57 https://files.keaz.ru/f/20766/oprosniy-list-va57-.doc
Руководство по эксплуатации ВА57-35, ВА57Ф35 https://files.keaz.ru/f/7794/rukovodstvo-po-ekspluatacii-vikluchateley-avtomaticheskih-va57-35va57f35-gjik-641453.001re.pdf
Каталог ВА57 https://files.keaz.ru/f/4521/katalog-va57.pdf";"Предельная коммутационная способность переменного тока Icu (кА)2 = 30
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 100
Предельная коммутационная способность переменного тока Icu при 690AC (кА) = 15
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 30";0
