Наименование;Артикул
Выключатель АК50Б-3МОМ3, 50Гц, 25А, 6Iн, условие - 01, ТУ16-522.136-78;105108
Выключатель АК50Б-3МОМ3, 50Гц, 31,5А, 6Iн, ТУ16-522.136-78;105112
Выключатель АК50Б-3МОМ3, 50Гц, 31,5А, 6Iн, условие - 01, ТУ16-522.136-78;105111
Выключатель АК50Б-3МОМ3, 50Гц, 4А, 6Iн, ТУ16-522.136-78;105114
Выключатель АК50Б-3МОМ3, 50Гц, 4А, 6Iн, условие - 01, ТУ16-522.136-78;105115
Выключатель АК50Б-3МОМ3, 50Гц, 40А, 6Iн, ТУ16-522.136-78;105120
Выключатель АК50Б-3МОМ3, 50Гц, 40А, 6Iн, условие - 01, ТУ16-522.136-78;105121
Выключатель АК50Б-3МОМ3, 50Гц, 5А, 6Iн, ТУ16-522.136-78;105128
Выключатель АК50Б-3МОМ3, 50Гц, 5А, 6Iн, условие - 01, ТУ16-522.136-78;105127
Выключатель АК50Б-3МОМ3, 50Гц, 50А, 6Iн, ТУ16-522.136-78;105133
Выключатель АК50Б-3МОМ3, 50Гц, 50А, 6Iн, условие - 01, ТУ16-522.136-78;105132
Выключатель АК50Б-3МОМ3, 50Гц, 6,3А, 6Iн, ТУ16-522.136-78;105139
Выключатель АК50Б-3МОМ3, 50Гц, 6,3А, 6Iн, условие - 01, ТУ16-522.136-78;105137
Выключатель АК50Б-3МОМ3, 50Гц, 8А, 6Iн, ТУ16-522.136-78;105142
Выключатель АК50Б-3МОМ3, 50Гц, 8А, 6Iн, условие - 01, ТУ16-522.136-78;105141
Выключатель АК50Б-3МОМ2, 50Гц, 10А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;372487
Выключатель АК50Б-3МОМ2, 50Гц, 10А, 6Iн, IP54 (с кабельными вводами), условие - 01, ТУ16-522.136-78;373958
Выключатель АК50Б-3МОМ2, 50Гц, 16А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;105146
Выключатель АК50Б-3МОМ2, 50Гц, 2А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;105147
Выключатель АК50Б-3МОМ2, 50Гц, 2А, 6Iн, IP54 (с кабельными вводами), условие - 01, регистр, ТУ16-522.136-78;225351
Выключатель АК50Б-3МОМ2, 50Гц, 25А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;105150
Выключатель АК50Б-3МОМ2, 50Гц, 4А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;105152
Выключатель АК50Б-3МОМ2, 50Гц, 40А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;105154
Выключатель АК50Б-3МОМ2, 50Гц, 6,3А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;105156
Выключатель АК50Б-3МОМ2, 50Гц, 10А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105072
Выключатель АК50Б-3МОМ2, 50Гц, 16А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105074
Выключатель АК50Б-3МОМ2, 50Гц, 2А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105158
Выключатель АК50Б-3МГОМ2, 50Гц, 2А, 6Iн, IP54 (с сальниками), условие - 01, ТУ16-522.136-78;225350
Выключатель АК50Б-3МОМ2, 50Гц, 31,5А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105077
Выключатель АК50Б-3МОМ2, 50Гц, 5А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105160
Выключатель АК50Б-3МОМ2, 50Гц, 6,3А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;105078
Выключатель АК50Б-3МГОМ3, 50Гц, 1А, 12Iн, ТУ16-522.136-78;105167
Выключатель АК50Б-3МГОМ3, 50Гц, 1А, 12Iн, условие - 01, ТУ16-522.136-78;105166
Выключатель АК50Б-3МГОМ3, 50Гц, 10А, 12Iн, ТУ16-522.136-78;105175
